Name,Size,Type,Alignment,AC,AC info,Mean HP,HP Dice,Speed,Prof. bonus,STR,DEX,CON,INT,WIS,CHA,Skill Proficiencies,Resistances,Vulnerabilities,Immunities,Conditions Immunity,Senses,Passive Perception,Languages,Trait Name,Trait Description,Action Name,Action Description,Legendary Action Name,Legendary Action Description,CR,Source
Barlgura,L,fiend (demon),chaotic evil,15,natural armor,68,8d10+24,"40 ft., climb 40 ft.",3,18,15,16,7,14,9,"Perception +5, Stealth +5","cold, fire, lightning",,poison,poisoned,"blindsight 30 ft., darkvision 120 ft.",15,"Abyssal, telepathy 120 ft.","['Innate Spellcasting', 'Reckless', 'Running Leap']","[""The barlgura's spellcasting ability is Wisdom (spell save DC 13). The barlgura can innately cast the following spells, requiring no material components: "", '1/day each: entangle, phantasmal force', '2/day each: disguise self, invisibility (self only)', 'At the start of its turn, the barlgura can gain advantage on all melee weapon attack rolls it makes during that turn, but attack rolls against it have advantage until the start of its next turn.', ""The barlgura's long jump is up to 40 feet and its high jump is up to 20 feet when it has a running start.""]","['Multiattack', 'Bite', 'Fist', 'Variant: Summon Demon (1/Day)']","['The barlgura makes three attacks: one with its bite and two with its fists.', 'Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) piercing damage.', 'Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 9 (1d10 + 4) bludgeoning damage.', 'The demon chooses what to summon and attempts a magical summoning.', 'A barlgura has a 30 percent chance of summoning one barlgura.', ""A summoned demon appears in an unoccupied space within 60 feet of its summoner, acts as an ally of its summoner, and can't summon other demons. It remains for 1 minute, until it or its summoner dies, or until its summoner dismisses it as an action.""]",[],[],5.0, monster manual
Barovian Witch,M,humanoid (human),chaotic evil,10,,16,3d8+3,30 ft.,2,7,11,13,14,11,12,"Arcana +4, Perception +2",,,,,darkvision 60 ft.,12,Common,['Spellcasting'],"['The witch is a 3rd-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 12, +4 to hit with spell attacks). The witch has the following wizard spells prepared:', None, '• Cantrips (at will): mage hand, prestidigitation, ray of frost', None, ""•1st level (4 slots): ray of sickness, sleep, Tasha's hideous laughter"", None, '•2nd level (2 slots): alter self, invisibility']","['Claws (Requires Alter Self)', 'Dagger']","['Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6+1) slashing damage. This attack is magical.', 'Melee or Ranged Weapon Attack: +2 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 2 (1d4) piercing damage.']",[],[],0.5, curse of strahd
Basilisk,M,monstrosity,unaligned,12,natural armor,52,8d8+16,20 ft.,2,16,8,15,2,8,7,,,,,,darkvision 60 ft.,9,,['Petrifying Gaze'],"[""If a creature starts its turn within 30 ft. of the basilisk and the two of them can see each other, the basilisk can force the creature to make a DC 12 Constitution saving throw if the basilisk isn't incapacitated. On a failed save, the creature magically begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified until freed by the greater restoration spell or other magic."", ""A creature that isn't surprised can avert its eyes to avoid the saving throw at the start of its turn. If it does so, it can't see the basilisk until the start of its next turn, when it can avert its eyes again. If it looks at the basilisk in the meantime, it must immediately make the save."", 'If the basilisk sees its reflection within 30 ft. of it in bright light, it mistakes itself for a rival and targets itself with its gaze.']",['Bite'],"['Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage plus 7 (2d6) poison damage.']",[],[],3.0, monster manual
Bastian Thermandar,M,humanoid (fire genasi),neutral evil,12,15 with mage armor,78,12d8+24,30 ft.,3,12,14,15,11,9,18,"Arcana +3, Deception +7",fire,,,,darkvision 60 ft.,9,"Common, Ignan","['Innate Spellcasting', 'Spellcasting']","[""Bastian's innate spellcasting ability is Constitution (spell save DC 13, +5 to hit with spell attacks). He can innately cast the following spells: "", None, '• At will: produce flame', '• 1/day: burning hands', 'Bastian is a 9th-level spellcaster. His spellcasting ability is Charisma (spell save DC 15, +7 to hit with spell attacks). Bastian knows the following sorcerer spells: ', None, '• Cantrips (at will): fire bolt, mage hand, message, prestidigitation, shocking grasp', '• 1st level (4 slots): mage armor, magic missile, shield', '• 2nd level (3 slots): misty step, scorching ray', '• 3rd level (3 slots): counterspell, fireball', '• 4th level (3 slots): dimension door, wall of fire', '• 5th level (1 slot): hold monster']",['Dagger'],"['Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.']",[],[],8.0, elemental evil
Bat,T,beast,unaligned,12,,1,1d4-1,"5 ft., fly 30 ft.",2,2,15,8,2,12,4,,,,,,blindsight 60 ft.,11,,"['Echolocation', 'Keen Hearing']","[""The bat can't use its blindsight while deafened."", 'The bat has advantage on Wisdom (Perception) checks that rely on hearing.']",['Bite'],"['Melee Weapon Attack: +0 to hit, reach 5 ft., one creature. Hit: 1 piercing damage.']",[],[],0.0, monster manual
Bearded Devil,M,fiend (devil),lawful evil,13,natural armor,52,8d8+16,30 ft.,2,16,15,15,9,11,11,,"cold, bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered",,"fire, poison",poisoned,darkvision 120 ft.,10,"Infernal, telepathy 120 ft.","[""Devil's Sight"", 'Magic Resistance', 'Steadfast']","[""Magical darkness doesn't impede the devil's darkvision."", 'The devil has advantage on saving throws against spells and other magical effects.', ""The devil can't be frightened while it can see an allied creature within 30 feet of it.""]","['Multiattack', 'Beard', 'Glaive']","['The devil makes two attacks: one with its beard and one with its glaive.', ""Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 6 (1d8 + 2) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or be poisoned for 1 minute. While poisoned in this way, the target can't regain hit points. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."", 'Melee Weapon Attack: +5 to hit, reach 10 ft., one target. Hit: 8 (1d10 + 3) slashing damage. If the target is a creature other than an undead or a construct, it must succeed on a DC 12 Constitution saving throw or lose 5 (1d10) hit points at the start of each of its turns due to an infernal wound. Each time the devil hits the wounded target with this attack, the damage dealt by the wound increases by 5 (1d10). Any creature can take an action to stanch the wound with a successful DC 12 Wisdom (Medicine) check. The wound also closes if the target receives magical healing.']",[],[],3.0, monster manual
Behir,H,monstrosity,neutral evil,17,natural armor,168,16d12+64,"50 ft., climb 40 ft.",4,23,16,18,7,14,12,"Perception +6, Stealth +7",,,lightning,,darkvision 90 ft.,16,Draconic,[],[],"['Multiattack', 'Bite', 'Constrict', 'Lightning Breath (Recharge 5-6)', 'Swallow']","['The behir makes two attacks: one with its bite and one to constrict.', 'Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 22 (3d10 + 6) piercing damage.', ""Melee Weapon Attack: +10 to hit, reach 5 ft., one Large or smaller creature. Hit: 17 (2d10 + 6) bludgeoning damage plus 17 (2d10 + 6) slashing damage. The target is grappled (escape DC 16) if the behir isn't already constricting a creature, and the target is restrained until this grapple ends."", 'The behir exhales a line of lightning that is 20 ft. long and 5 ft. wide. Each creature in that line must make a DC 16 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.', ""The behir makes one bite attack against a Medium or smaller target it is grappling. If the attack hits, the target is also swallowed, and the grapple ends. While swallowed, the target is blinded and restrained, it has total cover against attacks and other effects outside the behir, and it takes 21 (6d6) acid damage at the start of each of the behir's turns. A behir can have only one creature swallowed at a time."", 'If the behir takes 30 damage or more on a single turn from the swallowed creature, the behir must succeed on a DC 14 Constitution saving throw at the end of that turn or regurgitate the creature, which falls prone in a space within 10 ft. of the behir. If the behir dies, a swallowed creature is no longer restrained by it and can escape from the corpse by using 15 ft. of movement, exiting prone.']",[],[],11.0, monster manual
Beholder,L,aberration,lawful evil,18,natural armor,189,19d10+76,"0 ft., fly 20 ft. (hover)",5,10,14,18,17,15,17,Perception +12,,,,prone,darkvision 120 ft.,22,"Deep Speech, Undercommon",['Antimagic Cone'],"[""The beholder's central eye creates an area of antimagic, as in the antimagic field spell, in a 150-foot cone. At the start of each of its turns, the beholder decides which way the cone faces and whether the cone is active. The area works against the beholder's own eye rays.""]","['Bite', 'Eye Rays']","['Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 14 (4d6) piercing damage.', 'The beholder shoots three of the following magical eye rays at random (reroll duplicates), choosing one to three targets it can see within 120 ft. of it:', '1. Charm Ray. The targeted creature must succeed on a DC 16 Wisdom saving throw or be charmed by the beholder for 1 hour, or until the beholder harms the creature.', '2. Paralyzing Ray. The targeted creature must succeed on a DC 16 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.', '3. Fear Ray. The targeted creature must succeed on a DC 16 Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.', ""4. Slowing Ray. The targeted creature must succeed on a DC 16 Dexterity saving throw. On a failed save, the target's speed is halved for 1 minute. In addition, the creature can't take reactions, and it can take either an action or a bonus action on its turn, not both. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."", '5. Enervation Ray. The targeted creature must make a DC 16 Constitution saving throw, taking 36 (8d8) necrotic damage on a failed save, or half as much damage on a successful one.', ""6. Telekinetic Ray. If the target is a creature, it must succeed on a DC 16 Strength saving throw or the beholder moves it up to 30 ft. in any direction. It is restrained by the ray's telekinetic grip until the start of the beholder's next turn or until the beholder is incapacitated."", ""If the target is an object weighing 300 pounds or less that isn't being worn or carried, it is moved up to 30 ft. in any direction. The beholder can also exert fine control on objects with this ray, such as manipulating a simple tool or opening a door or a container."", '7. Sleep Ray. The targeted creature must succeed on a DC 16 Wisdom saving throw or fall asleep and remain unconscious for 1 minute. The target awakens if it takes damage or another creature takes an action to wake it. This ray has no effect on constructs and undead.', '8. Petrification Ray. The targeted creature must make a DC 16 Dexterity saving throw. On a failed save, the creature begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified until freed by the greater restoration spell or other magic.', '9. Disintegration Ray. If the target is a creature, it must succeed on a DC 16 Dexterity saving throw or take 45 (10d8) force damage. If this damage reduces the creature to 0 hit points, its body becomes a pile of fine gray dust.', 'If the target is a Large or smaller nonmagical object or creation of magical force, it is disintegrated without a saving throw. If the target is a Huge or larger object or creation of magical force, this ray disintegrates a 10-foot cube of it.', '10. Death Ray. The targeted creature must succeed on a DC 16 Dexterity saving throw or take 55 (10d10) necrotic damage. The target dies if the ray reduces it to 0 hit points.']",['Eye Ray'],['The beholder uses one random eye ray.'],13.0, monster manual
Beholder Zombie,L,undead,neutral evil,15,natural armor,93,11d10+33,"0 ft., fly 20 ft. (hover)",3,10,8,16,3,8,5,,,,poison,"poisoned, prone",darkvision 60 ft.,9,understands Deep Speech and Undercommon but can't speak,['Undead Fortitude'],"['If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5+the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.']","['Bite', 'Eye Ray']","['Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 14 (4d6) piercing damage.', 'The zombie uses a random magical eye ray, choosing a target that it can see within 60 feet of it.', '1. Paralyzing Ray. The targeted creature must succeed on a DC 14 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.', '2. Fear Ray. The targeted creature must succeed on a DC 14 Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.', '3. Enervation Ray. The targeted creature must make a DC 14 Constitution saving throw, taking 36 (8d8) necrotic damage on a failed save, or half as much damage on a successful one.', '4. Disintegration Ray. If the target is a creature, it must succeed on a DC 14 Dexterity saving throw or take 45 (10d8) force damage. If this damage reduces the creature to 0 hit points, its body becomes a pile of fine gray dust.', 'If the target is a Large or smaller nonmagical object or creation of magical force, it is disintegrated without a saving throw. If the target is a Huge or larger nonmagical object or creation of magical force, this ray disintegrates a 10-foot cube of it.']",[],[],5.0, monster manual
Beldora,M,humanoid (Illuskan human),chaotic good,12,,18,4d8,30 ft.,2,10,14,10,16,12,16,"Deception +5, Insight +3, Investigation +5, Perception +5, Persuasion +5",,,,,,13,"Common, Draconic, Dwarvish, Halfling",['Roleplaying Information'],"[""Beldora is a member of the harpers who survives using her wits and wiles. She looks like a homeless waif, but she's a survivor who shies away from material wealth."", None, 'Ideal: ""We should all strive to help one another""', 'Bond: ""I\'ll risk my life to protect the powerless.""', 'Flaw: ""I like lying to people. Makes life more interesting, no?""']","['Shortsword', 'Hand Crossbow']","['Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6+2) slashing damage, .', 'Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 5 (1d6+2) piercing damage. Beldora carries ten crossbow bolts.']",[],[],0.0, storm kings thunder
Berserker,M,humanoid (any race),any chaotic alignment,13,hide armor,67,9d8+27,30 ft.,2,16,12,17,9,11,9,,,,,,,10,any one language (usually Common),['Reckless'],"['At the start of its turn, the berserker can gain advantage on all melee weapon attack rolls during that turn, but attack rolls against it have advantage until the start of its next turn.']",['Greataxe'],"['Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 9 (1d12 + 3) slashing damage.']",[],[],2.0, monster manual
Bheur Hag,M,fey,chaotic evil,17,natural armor,91,14d8+28,30 ft.,3,13,16,14,12,13,16,"Nature +4, Perception +4, Stealth +6, Survival +4",,,cold,,darkvision 60 ft.,14,"Auran, Common, Giant","['Graystaff Magic', 'Ice Walk', 'Innate Spellcasting', 'Hag Coven', 'Shared Spellcasting (Coven Only)', 'Hag Eye (Coven Only)', 'Variant: Death Coven', 'Variant: Nature Coven', 'Variant: Prophecy Coven']","['The hag carries a graystaff, a length of gray wood that is a focus for her inner power. She can ride the staff as if it were a broom of flying. While holding the staff, she can cast additional spells with her Innate Spellcasting trait (these spells are marked with an asterisk). If the staff is lost or destroyed, the hag must craft another, which takes a year and a day. Only a bheur hag can use a graystaff.', 'The hag can move across and climb icy surfaces without needing to make an ability check. Additionally, difficult terrain composed of ice or snow doesn’t cost her extra moment.', 'The hag’s innate spellcasting ability is Charisma (spell save DC 14, +6 to hit with spell attacks). She can innately cast the following spells, requiring no material components:', '\t ', 'At will: hold person,* ray of frost', '\t ', '3/day each: cone of cold,* ice storm*, wall of ice*', '\t ', '1/day each: control weather', 'When hags must work together, they form covens, in spite of their selfish natures. A coven is made up of hags of any type, all of whom are equals within the group. However, each of the hags continues to desire more personal power.', '\tA coven consists of three hags so that any arguments between two hags can be settled by the third. If more than three hags ever come together, as might happen if two covens come into conflict, the result is usually chaos.', ""While all three members of a hag coven are within 30 feet of one another, they can each cast the following spells from the wizard's spell list but must share the spell slots among themselves: "", '\t', '• 1st level (4 slots): identify, ray of sickness ', '\t', '• 2nd level (3 slots): hold person, locate object ', '\t', '• 3rd level (3 slots): bestow curse, counterspell, lightning bolt ', '\t', '• 4th level (3 slots): phantasmal killer, polymorph ', '\t', '• 5th level (2 slots): contact other plane, scrying ', '\t', '• 6th level (1 slot): eyebite', '\t', ""\tFor casting these spells, each hag is a 12th-level spellcaster that uses Intelligence as her spellcasting ability. The spell save DC is 12+the hag's Intelligence modifier, and the spell attack bonus is 4+the hag's Intelligence modifier."", 'A hag coven can craft a magic item called a hag eye, which is made from a real eye coated in varnish and often fitted to a pendant or other wearable item. The hag eye is usually entrusted to a minion for safekeeping and transport. A hag in the coven can take an action to see what the hag eye sees if the hag eye is on the same plane of existence. A hag eye has AC 10, 1 hit point, and darkvision with a radius of 60 feet. If it is destroyed, each coven member takes 3d10 psychic damage and is blinded for 24 hours.', ""\tA hag coven can have only one hag eye at a time, and creating a new one requires all three members of the coven to perform a ritual. The ritual takes 1 hour, and the hags can't perform it while blinded. During the ritual, if the hags take any action other than performing the ritual, they must start over."", ""For a death coven, replace the spell list of the hags' Shared Spellcasting trait with the folllowing spells:"", '\t ', '1st level (4 slots): false life, inflict wounds', '\t ', '2nd level (3 slots): gentle repose, ray of enfeeblement', '\t ', '3rd level (3 slots): animate dead, revivify, speak with dead', '\t ', '4th level (3 slots): blight, death ward', '\t ', '5th level (2 slots): contagion, raise dead', '\t ', '6th level (1 slot): circle of death', ""For a nature coven, replace the spell list of the hags' Shared Spellcasting trait with the folllowing spells:"", '\t ', '1st level (4 slots): entangle, speak with animals', '\t ', '2nd level (3 slots): flaming sphere, moonbeam, spike growth', '\t ', '3rd level (3 slots): call lightning, plant growth', '\t ', '4th level (3 slots): dominate beast, grasping vine', '\t ', '5th level (2 slots): insect plague, tree stride', '\t ', '6th level (1 slot): wall of thorns', ""For a prophecy coven, replace the spell list of the hags' Shared Spellcasting trait with the folllowing spells:"", '\t ', '1st level (4 slots): bane, bless', '\t ', '2nd level (3 slots): augury, detect thoughts', '\t ', '3rd level (3 slots): calirvoyance, dispel magic, nondetection', '\t ', '4th level (3 slots): arcane eye, locate creature', '\t ', '5th level (2 slots): geas, legend lore', '\t ', '6th level (1 slot): true seeing']","['Slam', 'Maddening Feast']","['Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit:10 (2d8+1) bludgeoning damage plus 3 (1d6) cold damage.', ""The hag feasts on the corpse of one enemy within 5 feet of her that died within the past minute. Each creature of the hag’s choice that is within 60 feet of her and able to see her must succeed on a DC 15 Wisdom saving throw or be frightened of her for 1 minute. While frightened in this way, a creature is incapacitated, can't understand what others say, can't read, and speaks only in gibberish; the DM controls the creature’s movement, which is erratic. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the hag’s Maddening Feast for the next 24 hours.""]",[],[],7.0, Volo's Guide
Black Bear,M,beast,unaligned,11,natural armor,19,3d8+6,"40 ft., climb 30 ft.",2,15,10,14,2,12,7,,,,,,,13,,['Keen Smell'],['The bear has advantage on Wisdom (Perception) checks that rely on smell.'],"['Multiattack', 'Bite', 'Claws']","['The bear makes two attacks: one with its bite and one with its claws.', 'Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.', 'Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) slashing damage.']",[],[],0.5, monster manual
Black Dragon Wyrmling,M,dragon,chaotic evil,17,natural armor,33,6d8+6,"30 ft., fly 60 ft., swim 30 ft.",2,15,14,13,10,11,13,"Perception +4, Stealth +4",,,acid,,"blindsight 10 ft., darkvision 60 ft.",14,Draconic,['Amphibious'],['The dragon can breathe air and water.'],"['Bite', 'Acid Breath (Recharge 5-6)']","['Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage plus 2 (1d4) acid damage.', 'The dragon exhales acid in a 15-foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw, taking 22 (Sd8) acid damage on a failed save, or half as much damage on a successful one.']",[],[],2.0, monster manual
Black Earth Guard,M,humanoid (human),neutral evil,18,plate,39,6d8+12,30 ft.,2,17,11,14,10,10,9,"Intimidation +1, Perception +2",,,,,,12,Common,[],[],"['Multiattack', 'Morningstar']","['The guard makes two melee attacks.', 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage.']",[],[],2.0, elemental evil
Black Earth Priest,M,humanoid (human),neutral evil,17,splint,45,7d8+14,30 ft.,2,15,11,14,12,10,16,"Intimidation +5, Religion +3, Persuasion +5",,,,,,10,"Common, Terran",['Spellcasting'],"['The priest is a 5th-level spellcaster. Its spellcasting ability is Charisma (spell save DC 13, +5 to hit with spell attacks). It knows the following sorcerer spells: ', None, '• Cantrips (at will): acid splash, blade ward, light, mending, mold earth', '• 1st level (4 slots): earth tremor, expeditious retreat, shield', '• 2nd level (3 slots): shatter, spider climb', '• 3rd level (2 slots): slow']","['Multiattack', 'Glaive']","['The priest makes two melee attacks.', 'Melee Weapon Attack: +4 to hit, reach 10 ft., one target. Hit: 7 (1d10 + 2) slashing damage.']",[],[],3.0, elemental evil
Black Guard Drake,M,dragon,unaligned,14,natural armor,52,7d8+21,"30 ft., swim 30 ft.",2,16,11,16,4,10,7,Perception +2,acid,,,,darkvision 60 ft.,12,understands Draconic but can't speak it,['Amphibious'],['The guard drake can breathe air and water.'],"['Multiattack', 'Bite', 'Tail']","['The drake attacks twice, once with its bite and once with its tail.', 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8+3) piercing damage.', 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6+3) bludgeoning damage.']",[],[],2.0, Volo's Guide
Black Pudding,L,ooze,unaligned,7,,85,10d10+30,"20 ft., climb 20 ft.",2,16,5,16,1,6,1,,,,"acid, cold, lightning, slashing","blinded, charmed, deafened, exhaustion, frightened, prone",blindsight 60 ft. (blind beyond this radius),8,,"['Amorphous', 'Corrosive Form', 'Spider Climb']","['The pudding can move through a space as narrow as 1 inch wide without squeezing.', 'A creature that touches the pudding or hits it with a melee attack while within 5 feet of it takes 4 (1d8) acid damage. Any nonmagical weapon made of metal or wood that hits the pudding corrodes. After dealing damage, the weapon takes a permanent and cumulative -1 penalty to damage rolls. If its penalty drops to -5, the weapon is destroyed. Nonmagical ammunition made of metal or wood that hits the pudding is destroyed after dealing damage. The pudding can eat through 2-inch-thick, nonmagical wood or metal in 1 round.', 'The pudding can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.']",['Pseudopod'],"['Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage plus 18 (4d8) acid damage. In addition, nonmagical armor worn by the target is partly dissolved and takes a permanent and cumulative -1 penalty to the AC it offers. The armor is destroyed if the penalty reduces its AC to 10.']",[],[],4.0, monster manual
Blackguard,M,humanoid (any race),any non-good alignment,18,plate,153,18d8+72,30 ft.,3,18,11,18,11,14,15,"Athletics +7, Deception +5, Intimidation +5",,,,,,12,any one language (usually Common),['Spellcasting'],"['The blackguard is a 10th-level spellcaster. Its spellcasting ability is Charisma (spell save DC 33, +5 to hit with spell attacks). It has the following paladin spells prepared:', '\t ', '1st level (4 slots): command, protection from evil and good, thunderous smite', '\t ', '2nd level (3 slots): branding smite, find steed', '\t ', '3rd level (2 slots): blinding smite, dispel magic']","['Multiattack', 'Glaive', 'Shortbow', 'Dreadful Aspect (Recharges after a Short or Long Rest)']","['The blackguard makes three attacks with its glaive or its shortbow.', 'Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 9 (1d10+4) slashing damage.', 'Ranged Weapon Attack: +3 to hit, range 80/320 ft., one target. Hit: 5 (1d6+2) piercing damage.', 'The blackguard exudes magical menace. Each enemy within 30 feet of the blackguard must succeed on a DC 13 Wisdom saving throw or be frightened for 1 minute. If a frightened target ends its turn more than 30 feet away from the blackguard, the tar get can repeat the saving throw, ending the effect on itself on a success.']",[],[],8.0, Volo's Guide
Blagothkus,H,giant (cloud giant),neutral evil,17,splint,138,12d12+60,40 ft.,4,26,13,20,16,15,15,"Arcana +7, Insight +6, Intimidation +6, Perception +6",,,,,,16,"Common, Draconic, Giant","['Keen Smell', 'Innate Spellcasting', 'Spellcasting']","['Blagothkus has advantage on Wisdom (Perception) checks that rely on smell.', 'Blagothkus can innately cast the following spells (spell save DC 15), requiring no material components: ', None, '• 3/day each: fog cloud, levitate', 'Blagothkus is a 5th-level spellcaster that uses Intelligence as his spellcasting ability (spell save DC 15, +7 to hit with spell attacks). Blagothkus has the following spells prepared from the wizard spell list: ', None, '• Cantrips (at will): light, mage hand, prestidigitation', '• 1st level (4 slots): detect magic, identify, magic missile, shield', '• 2nd level (3 slots): gust of wind, misty step, shatter', '• 3rd level (2 slots): fly, lightning bolt']","['Multiattack', 'Morningstar']","['Blagothkus attacks twice with his morningstar.', 'Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 21 (3d8 + 8) piercing damage.']",[],[],9.0, tyranny of dragons
Blink Dog,M,fey,lawful good,13,,22,4d8+4,40 ft.,2,12,17,12,10,13,11,"Perception +3, Stealth +5",,,,,,10,"Blink Dog, understands Sylvan but can't speak it",['Keen Hearing and Smell'],['The dog has advantage on Wisdom (Perception) checks that rely on hearing or smell.'],"['Bite', 'Teleport (Recharge 4-6)']","['Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage.', 'The dog magically teleports, along with any equipment it is wearing or carrying, up to 40 ft. to an unoccupied space it can see. Before or after teleporting, the dog can make one bite attack.']",[],[],0.25, monster manual
Blood Hawk,S,beast,unaligned,12,,7,2d6,"10 ft., fly 60 ft.",2,6,14,10,3,14,5,Perception +4,,,,,,14,,"['Keen Sight', 'Pack Tactics']","['The hawk has advantage on Wisdom (Perception) checks that rely on sight.', ""The hawk has advantage on an attack roll against a creature if at least one of the hawk's allies is within 5 ft. of the creature and the ally isn't incapacitated.""]",['Beak'],"['Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.']",[],[],0.125, monster manual
Blue Dragon Wyrmling,M,dragon,lawful evil,17,natural armor,52,8d8+16,"30 ft., burrow 15 ft., fly 60 ft.",2,17,10,15,12,11,15,"Perception +4, Stealth +2",,,lightning,,"blindsight 10 ft., darkvision 60 ft.",14,Draconic,[],[],"['Bite', 'Lightning Breath (Recharge 5-6)']","['Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage plus 3 (1d6) lightning damage.', 'The dragon exhales lightning in a 30-foot line that is 5 feet wide. Each creature in that line must make a DC 12 Dexterity saving throw, taking 22 (4d10) lightning damage on a failed save, or half as much damage on a successful one.']",[],[],3.0, monster manual
Blue Guard Drake,M,dragon,unaligned,14,natural armor,52,7d8+21,"30 ft., burrow 20 ft.",2,16,11,16,4,10,7,Perception +2,lightning,,,,darkvision 60 ft.,12,understands Draconic but can't speak it,[],[],"['Multiattack', 'Bite', 'Tail']","['The drake attacks twice, once with its bite and once with its tail.', 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8+3) piercing damage.', 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6+3) bludgeoning damage.']",[],[],2.0, Volo's Guide
